运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_ft:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-arm64/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
音频编码
Output #0, adts, to '/tmp/04.aac':
    Stream #0:0: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
pts:-1024 pts_time:-0.02322 dts:-1024 dts_time:-0.02322 duration:1024 duration_time:0.02322 stream_index:0
pts:0 pts_time:0 dts:0 dts_time:0 duration:1024 duration_time:0.02322 stream_index:0
pts:1024 pts_time:0.02322 dts:1024 dts_time:0.02322 duration:1024 duration_time:0.02322 stream_index:0
pts:2048 pts_time:0.0464399 dts:2048 dts_time:0.0464399 duration:1024 duration_time:0.02322 stream_index:0
pts:3072 pts_time:0.0696599 dts:3072 dts_time:0.0696599 duration:1024 duration_time:0.02322 stream_index:0
pts:4096 pts_time:0.0928798 dts:4096 dts_time:0.0928798 duration:1024 duration_time:0.02322 stream_index:0
pts:5120 pts_time:0.1161 dts:5120 dts_time:0.1161 duration:1024 duration_time:0.02322 stream_index:0
pts:6144 pts_time:0.13932 dts:6144 dts_time:0.13932 duration:1024 duration_time:0.02322 stream_index:0
pts:7168 pts_time:0.16254 dts:7168 dts_time:0.16254 duration:1024 duration_time:0.02322 stream_index:0
pts:8192 pts_time:0.18576 dts:8192 dts_time:0.18576 duration:1024 duration_time:0.02322 stream_index:0
pts:9216 pts_time:0.20898 dts:9216 dts_time:0.20898 duration:1024 duration_time:0.02322 stream_index:0
pts:10240 pts_time:0.2322 dts:10240 dts_time:0.2322 duration:1024 duration_time:0.02322 stream_index:0
pts:11264 pts_time:0.25542 dts:11264 dts_time:0.25542 duration:1024 duration_time:0.02322 stream_index:0
pts:12288 pts_time:0.278639 dts:12288 dts_time:0.278639 duration:1024 duration_time:0.02322 stream_index:0
pts:13312 pts_time:0.301859 dts:13312 dts_time:0.301859 duration:1024 duration_time:0.02322 stream_index:0
pts:14336 pts_time:0.325079 dts:14336 dts_time:0.325079 duration:1024 duration_time:0.02322 stream_index:0
pts:15360 pts_time:0.348299 dts:15360 dts_time:0.348299 duration:1024 duration_time:0.02322 stream_index:0
pts:16384 pts_time:0.371519 dts:16384 dts_time:0.371519 duration:1024 duration_time:0.02322 stream_index:0
pts:17408 pts_time:0.394739 dts:17408 dts_time:0.394739 duration:1024 duration_time:0.02322 stream_index:0
