运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_lx:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.avi
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-mips64el/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.avi
OpenJDK 64-Bit Zero VM warning: You have loaded library /usr/lib/libffmpeg-jni.so which might have disabled stack guard. The VM will try to fix the stack guard now.
It's highly recommended that you fix the library with 'execstack -c <libfile>', or link it with '-z noexecstack'.
视频编码
Output #0, avi, to '/tmp/02.avi':
    Stream #0:0: Video: mpeg4, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
pts:0 pts_time:0 dts:0 dts_time:0 duration:0 duration_time:0 stream_index:0
pts:1 pts_time:0.04 dts:1 dts_time:0.04 duration:0 duration_time:0 stream_index:0
pts:2 pts_time:0.08 dts:2 dts_time:0.08 duration:0 duration_time:0 stream_index:0
pts:3 pts_time:0.12 dts:3 dts_time:0.12 duration:0 duration_time:0 stream_index:0
pts:4 pts_time:0.16 dts:4 dts_time:0.16 duration:0 duration_time:0 stream_index:0
pts:5 pts_time:0.2 dts:5 dts_time:0.2 duration:0 duration_time:0 stream_index:0
pts:6 pts_time:0.24 dts:6 dts_time:0.24 duration:0 duration_time:0 stream_index:0
pts:7 pts_time:0.28 dts:7 dts_time:0.28 duration:0 duration_time:0 stream_index:0
pts:8 pts_time:0.32 dts:8 dts_time:0.32 duration:0 duration_time:0 stream_index:0
pts:9 pts_time:0.36 dts:9 dts_time:0.36 duration:0 duration_time:0 stream_index:0
pts:10 pts_time:0.4 dts:10 dts_time:0.4 duration:0 duration_time:0 stream_index:0
pts:11 pts_time:0.44 dts:11 dts_time:0.44 duration:0 duration_time:0 stream_index:0
pts:12 pts_time:0.48 dts:12 dts_time:0.48 duration:0 duration_time:0 stream_index:0
pts:13 pts_time:0.52 dts:13 dts_time:0.52 duration:0 duration_time:0 stream_index:0
pts:14 pts_time:0.56 dts:14 dts_time:0.56 duration:0 duration_time:0 stream_index:0
pts:15 pts_time:0.6 dts:15 dts_time:0.6 duration:0 duration_time:0 stream_index:0
pts:16 pts_time:0.64 dts:16 dts_time:0.64 duration:0 duration_time:0 stream_index:0
pts:17 pts_time:0.68 dts:17 dts_time:0.68 duration:0 duration_time:0 stream_index:0
pts:18 pts_time:0.72 dts:18 dts_time:0.72 duration:0 duration_time:0 stream_index:0
pts:19 pts_time:0.76 dts:19 dts_time:0.76 duration:0 duration_time:0 stream_index:0
pts:20 pts_time:0.8 dts:20 dts_time:0.8 duration:0 duration_time:0 stream_index:0
pts:21 pts_time:0.84 dts:21 dts_time:0.84 duration:0 duration_time:0 stream_index:0
pts:22 pts_time:0.88 dts:22 dts_time:0.88 duration:0 duration_time:0 stream_index:0
pts:23 pts_time:0.92 dts:23 dts_time:0.92 duration:0 duration_time:0 stream_index:0
pts:24 pts_time:0.96 dts:24 dts_time:0.96 duration:0 duration_time:0 stream_index:0
pts:25 pts_time:1 dts:25 dts_time:1 duration:0 duration_time:0 stream_index:0
pts:26 pts_time:1.04 dts:26 dts_time:1.04 duration:0 duration_time:0 stream_index:0
pts:27 pts_time:1.08 dts:27 dts_time:1.08 duration:0 duration_time:0 stream_index:0
pts:28 pts_time:1.12 dts:28 dts_time:1.12 duration:0 duration_time:0 stream_index:0
pts:29 pts_time:1.16 dts:29 dts_time:1.16 duration:0 duration_time:0 stream_index:0
pts:30 pts_time:1.2 dts:30 dts_time:1.2 duration:0 duration_time:0 stream_index:0
pts:31 pts_time:1.24 dts:31 dts_time:1.24 duration:0 duration_time:0 stream_index:0
pts:32 pts_time:1.28 dts:32 dts_time:1.28 duration:0 duration_time:0 stream_index:0
pts:33 pts_time:1.32 dts:33 dts_time:1.32 duration:0 duration_time:0 stream_index:0
pts:34 pts_time:1.36 dts:34 dts_time:1.36 duration:0 duration_time:0 stream_index:0
pts:35 pts_time:1.4 dts:35 dts_time:1.4 duration:0 duration_time:0 stream_index:0
pts:36 pts_time:1.44 dts:36 dts_time:1.44 duration:0 duration_time:0 stream_index:0
pts:37 pts_time:1.48 dts:37 dts_time:1.48 duration:0 duration_time:0 stream_index:0
pts:38 pts_time:1.52 dts:38 dts_time:1.52 duration:0 duration_time:0 stream_index:0
pts:39 pts_time:1.56 dts:39 dts_time:1.56 duration:0 duration_time:0 stream_index:0
pts:40 pts_time:1.6 dts:40 dts_time:1.6 duration:0 duration_time:0 stream_index:0
pts:41 pts_time:1.64 dts:41 dts_time:1.64 duration:0 duration_time:0 stream_index:0
pts:42 pts_time:1.68 dts:42 dts_time:1.68 duration:0 duration_time:0 stream_index:0
pts:43 pts_time:1.72 dts:43 dts_time:1.72 duration:0 duration_time:0 stream_index:0
pts:44 pts_time:1.76 dts:44 dts_time:1.76 duration:0 duration_time:0 stream_index:0
pts:45 pts_time:1.8 dts:45 dts_time:1.8 duration:0 duration_time:0 stream_index:0
pts:46 pts_time:1.84 dts:46 dts_time:1.84 duration:0 duration_time:0 stream_index:0
pts:47 pts_time:1.88 dts:47 dts_time:1.88 duration:0 duration_time:0 stream_index:0
pts:48 pts_time:1.92 dts:48 dts_time:1.92 duration:0 duration_time:0 stream_index:0
pts:49 pts_time:1.96 dts:49 dts_time:1.96 duration:0 duration_time:0 stream_index:0
pts:50 pts_time:2 dts:50 dts_time:2 duration:0 duration_time:0 stream_index:0
pts:51 pts_time:2.04 dts:51 dts_time:2.04 duration:0 duration_time:0 stream_index:0
pts:52 pts_time:2.08 dts:52 dts_time:2.08 duration:0 duration_time:0 stream_index:0
pts:53 pts_time:2.12 dts:53 dts_time:2.12 duration:0 duration_time:0 stream_index:0
pts:54 pts_time:2.16 dts:54 dts_time:2.16 duration:0 duration_time:0 stream_index:0
pts:55 pts_time:2.2 dts:55 dts_time:2.2 duration:0 duration_time:0 stream_index:0
pts:56 pts_time:2.24 dts:56 dts_time:2.24 duration:0 duration_time:0 stream_index:0
pts:57 pts_time:2.28 dts:57 dts_time:2.28 duration:0 duration_time:0 stream_index:0
pts:58 pts_time:2.32 dts:58 dts_time:2.32 duration:0 duration_time:0 stream_index:0
pts:59 pts_time:2.36 dts:59 dts_time:2.36 duration:0 duration_time:0 stream_index:0
pts:60 pts_time:2.4 dts:60 dts_time:2.4 duration:0 duration_time:0 stream_index:0
pts:61 pts_time:2.44 dts:61 dts_time:2.44 duration:0 duration_time:0 stream_index:0
pts:62 pts_time:2.48 dts:62 dts_time:2.48 duration:0 duration_time:0 stream_index:0
pts:63 pts_time:2.52 dts:63 dts_time:2.52 duration:0 duration_time:0 stream_index:0
pts:64 pts_time:2.56 dts:64 dts_time:2.56 duration:0 duration_time:0 stream_index:0
pts:65 pts_time:2.6 dts:65 dts_time:2.6 duration:0 duration_time:0 stream_index:0
pts:66 pts_time:2.64 dts:66 dts_time:2.64 duration:0 duration_time:0 stream_index:0
pts:67 pts_time:2.68 dts:67 dts_time:2.68 duration:0 duration_time:0 stream_index:0
pts:68 pts_time:2.72 dts:68 dts_time:2.72 duration:0 duration_time:0 stream_index:0
pts:69 pts_time:2.76 dts:69 dts_time:2.76 duration:0 duration_time:0 stream_index:0
pts:70 pts_time:2.8 dts:70 dts_time:2.8 duration:0 duration_time:0 stream_index:0
pts:71 pts_time:2.84 dts:71 dts_time:2.84 duration:0 duration_time:0 stream_index:0
pts:72 pts_time:2.88 dts:72 dts_time:2.88 duration:0 duration_time:0 stream_index:0
pts:73 pts_time:2.92 dts:73 dts_time:2.92 duration:0 duration_time:0 stream_index:0
pts:74 pts_time:2.96 dts:74 dts_time:2.96 duration:0 duration_time:0 stream_index:0
pts:75 pts_time:3 dts:75 dts_time:3 duration:0 duration_time:0 stream_index:0
pts:76 pts_time:3.04 dts:76 dts_time:3.04 duration:0 duration_time:0 stream_index:0
pts:77 pts_time:3.08 dts:77 dts_time:3.08 duration:0 duration_time:0 stream_index:0
pts:78 pts_time:3.12 dts:78 dts_time:3.12 duration:0 duration_time:0 stream_index:0
pts:79 pts_time:3.16 dts:79 dts_time:3.16 duration:0 duration_time:0 stream_index:0
pts:80 pts_time:3.2 dts:80 dts_time:3.2 duration:0 duration_time:0 stream_index:0
pts:81 pts_time:3.24 dts:81 dts_time:3.24 duration:0 duration_time:0 stream_index:0
pts:82 pts_time:3.28 dts:82 dts_time:3.28 duration:0 duration_time:0 stream_index:0
pts:83 pts_time:3.32 dts:83 dts_time:3.32 duration:0 duration_time:0 stream_index:0
pts:84 pts_time:3.36 dts:84 dts_time:3.36 duration:0 duration_time:0 stream_index:0
pts:85 pts_time:3.4 dts:85 dts_time:3.4 duration:0 duration_time:0 stream_index:0
pts:86 pts_time:3.44 dts:86 dts_time:3.44 duration:0 duration_time:0 stream_index:0
pts:87 pts_time:3.48 dts:87 dts_time:3.48 duration:0 duration_time:0 stream_index:0
pts:88 pts_time:3.52 dts:88 dts_time:3.52 duration:0 duration_time:0 stream_index:0
pts:89 pts_time:3.56 dts:89 dts_time:3.56 duration:0 duration_time:0 stream_index:0
pts:90 pts_time:3.6 dts:90 dts_time:3.6 duration:0 duration_time:0 stream_index:0
pts:91 pts_time:3.64 dts:91 dts_time:3.64 duration:0 duration_time:0 stream_index:0
pts:92 pts_time:3.68 dts:92 dts_time:3.68 duration:0 duration_time:0 stream_index:0
pts:93 pts_time:3.72 dts:93 dts_time:3.72 duration:0 duration_time:0 stream_index:0
pts:94 pts_time:3.76 dts:94 dts_time:3.76 duration:0 duration_time:0 stream_index:0
pts:95 pts_time:3.8 dts:95 dts_time:3.8 duration:0 duration_time:0 stream_index:0
pts:96 pts_time:3.84 dts:96 dts_time:3.84 duration:0 duration_time:0 stream_index:0
pts:97 pts_time:3.88 dts:97 dts_time:3.88 duration:0 duration_time:0 stream_index:0
pts:98 pts_time:3.92 dts:98 dts_time:3.92 duration:0 duration_time:0 stream_index:0
pts:99 pts_time:3.96 dts:99 dts_time:3.96 duration:0 duration_time:0 stream_index:0
pts:100 pts_time:4 dts:100 dts_time:4 duration:0 duration_time:0 stream_index:0
pts:101 pts_time:4.04 dts:101 dts_time:4.04 duration:0 duration_time:0 stream_index:0
pts:102 pts_time:4.08 dts:102 dts_time:4.08 duration:0 duration_time:0 stream_index:0
pts:103 pts_time:4.12 dts:103 dts_time:4.12 duration:0 duration_time:0 stream_index:0
pts:104 pts_time:4.16 dts:104 dts_time:4.16 duration:0 duration_time:0 stream_index:0
pts:105 pts_time:4.2 dts:105 dts_time:4.2 duration:0 duration_time:0 stream_index:0
pts:106 pts_time:4.24 dts:106 dts_time:4.24 duration:0 duration_time:0 stream_index:0
pts:107 pts_time:4.28 dts:107 dts_time:4.28 duration:0 duration_time:0 stream_index:0
pts:108 pts_time:4.32 dts:108 dts_time:4.32 duration:0 duration_time:0 stream_index:0
pts:109 pts_time:4.36 dts:109 dts_time:4.36 duration:0 duration_time:0 stream_index:0
pts:110 pts_time:4.4 dts:110 dts_time:4.4 duration:0 duration_time:0 stream_index:0
pts:111 pts_time:4.44 dts:111 dts_time:4.44 duration:0 duration_time:0 stream_index:0
pts:112 pts_time:4.48 dts:112 dts_time:4.48 duration:0 duration_time:0 stream_index:0
pts:113 pts_time:4.52 dts:113 dts_time:4.52 duration:0 duration_time:0 stream_index:0
pts:114 pts_time:4.56 dts:114 dts_time:4.56 duration:0 duration_time:0 stream_index:0
pts:115 pts_time:4.6 dts:115 dts_time:4.6 duration:0 duration_time:0 stream_index:0
pts:116 pts_time:4.64 dts:116 dts_time:4.64 duration:0 duration_time:0 stream_index:0
pts:117 pts_time:4.68 dts:117 dts_time:4.68 duration:0 duration_time:0 stream_index:0
pts:118 pts_time:4.72 dts:118 dts_time:4.72 duration:0 duration_time:0 stream_index:0
pts:119 pts_time:4.76 dts:119 dts_time:4.76 duration:0 duration_time:0 stream_index:0
pts:120 pts_time:4.8 dts:120 dts_time:4.8 duration:0 duration_time:0 stream_index:0
pts:121 pts_time:4.84 dts:121 dts_time:4.84 duration:0 duration_time:0 stream_index:0
pts:122 pts_time:4.88 dts:122 dts_time:4.88 duration:0 duration_time:0 stream_index:0
pts:123 pts_time:4.92 dts:123 dts_time:4.92 duration:0 duration_time:0 stream_index:0
pts:124 pts_time:4.96 dts:124 dts_time:4.96 duration:0 duration_time:0 stream_index:0
pts:125 pts_time:5 dts:125 dts_time:5 duration:0 duration_time:0 stream_index:0
pts:126 pts_time:5.04 dts:126 dts_time:5.04 duration:0 duration_time:0 stream_index:0
pts:127 pts_time:5.08 dts:127 dts_time:5.08 duration:0 duration_time:0 stream_index:0
pts:128 pts_time:5.12 dts:128 dts_time:5.12 duration:0 duration_time:0 stream_index:0
pts:129 pts_time:5.16 dts:129 dts_time:5.16 duration:0 duration_time:0 stream_index:0
pts:130 pts_time:5.2 dts:130 dts_time:5.2 duration:0 duration_time:0 stream_index:0
pts:131 pts_time:5.24 dts:131 dts_time:5.24 duration:0 duration_time:0 stream_index:0
pts:132 pts_time:5.28 dts:132 dts_time:5.28 duration:0 duration_time:0 stream_index:0
pts:133 pts_time:5.32 dts:133 dts_time:5.32 duration:0 duration_time:0 stream_index:0
pts:134 pts_time:5.36 dts:134 dts_time:5.36 duration:0 duration_time:0 stream_index:0
pts:135 pts_time:5.4 dts:135 dts_time:5.4 duration:0 duration_time:0 stream_index:0
pts:136 pts_time:5.44 dts:136 dts_time:5.44 duration:0 duration_time:0 stream_index:0
pts:137 pts_time:5.48 dts:137 dts_time:5.48 duration:0 duration_time:0 stream_index:0
pts:138 pts_time:5.52 dts:138 dts_time:5.52 duration:0 duration_time:0 stream_index:0
pts:139 pts_time:5.56 dts:139 dts_time:5.56 duration:0 duration_time:0 stream_index:0
pts:140 pts_time:5.6 dts:140 dts_time:5.6 duration:0 duration_time:0 stream_index:0
pts:141 pts_time:5.64 dts:141 dts_time:5.64 duration:0 duration_time:0 stream_index:0
pts:142 pts_time:5.68 dts:142 dts_time:5.68 duration:0 duration_time:0 stream_index:0
pts:143 pts_time:5.72 dts:143 dts_time:5.72 duration:0 duration_time:0 stream_index:0
pts:144 pts_time:5.76 dts:144 dts_time:5.76 duration:0 duration_time:0 stream_index:0
pts:145 pts_time:5.8 dts:145 dts_time:5.8 duration:0 duration_time:0 stream_index:0
pts:146 pts_time:5.84 dts:146 dts_time:5.84 duration:0 duration_time:0 stream_index:0
