运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_lx:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.flv
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-mips64el/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.flv
OpenJDK 64-Bit Zero VM warning: You have loaded library /usr/lib/libffmpeg-jni.so which might have disabled stack guard. The VM will try to fix the stack guard now.
It's highly recommended that you fix the library with 'execstack -c <libfile>', or link it with '-z noexecstack'.
视频编码
Output #0, flv, to '/tmp/02.flv':
    Stream #0:0: Video: flv1, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
pts:0 pts_time:0 dts:0 dts_time:0 duration:0 duration_time:0 stream_index:0
pts:40 pts_time:0.04 dts:40 dts_time:0.04 duration:0 duration_time:0 stream_index:0
pts:80 pts_time:0.08 dts:80 dts_time:0.08 duration:0 duration_time:0 stream_index:0
pts:120 pts_time:0.12 dts:120 dts_time:0.12 duration:0 duration_time:0 stream_index:0
pts:160 pts_time:0.16 dts:160 dts_time:0.16 duration:0 duration_time:0 stream_index:0
pts:200 pts_time:0.2 dts:200 dts_time:0.2 duration:0 duration_time:0 stream_index:0
pts:240 pts_time:0.24 dts:240 dts_time:0.24 duration:0 duration_time:0 stream_index:0
pts:280 pts_time:0.28 dts:280 dts_time:0.28 duration:0 duration_time:0 stream_index:0
pts:320 pts_time:0.32 dts:320 dts_time:0.32 duration:0 duration_time:0 stream_index:0
pts:360 pts_time:0.36 dts:360 dts_time:0.36 duration:0 duration_time:0 stream_index:0
pts:400 pts_time:0.4 dts:400 dts_time:0.4 duration:0 duration_time:0 stream_index:0
pts:440 pts_time:0.44 dts:440 dts_time:0.44 duration:0 duration_time:0 stream_index:0
pts:480 pts_time:0.48 dts:480 dts_time:0.48 duration:0 duration_time:0 stream_index:0
pts:520 pts_time:0.52 dts:520 dts_time:0.52 duration:0 duration_time:0 stream_index:0
pts:560 pts_time:0.56 dts:560 dts_time:0.56 duration:0 duration_time:0 stream_index:0
pts:600 pts_time:0.6 dts:600 dts_time:0.6 duration:0 duration_time:0 stream_index:0
pts:640 pts_time:0.64 dts:640 dts_time:0.64 duration:0 duration_time:0 stream_index:0
pts:680 pts_time:0.68 dts:680 dts_time:0.68 duration:0 duration_time:0 stream_index:0
pts:720 pts_time:0.72 dts:720 dts_time:0.72 duration:0 duration_time:0 stream_index:0
pts:760 pts_time:0.76 dts:760 dts_time:0.76 duration:0 duration_time:0 stream_index:0
pts:800 pts_time:0.8 dts:800 dts_time:0.8 duration:0 duration_time:0 stream_index:0
pts:840 pts_time:0.84 dts:840 dts_time:0.84 duration:0 duration_time:0 stream_index:0
pts:880 pts_time:0.88 dts:880 dts_time:0.88 duration:0 duration_time:0 stream_index:0
pts:920 pts_time:0.92 dts:920 dts_time:0.92 duration:0 duration_time:0 stream_index:0
pts:960 pts_time:0.96 dts:960 dts_time:0.96 duration:0 duration_time:0 stream_index:0
pts:1000 pts_time:1 dts:1000 dts_time:1 duration:0 duration_time:0 stream_index:0
pts:1040 pts_time:1.04 dts:1040 dts_time:1.04 duration:0 duration_time:0 stream_index:0
pts:1080 pts_time:1.08 dts:1080 dts_time:1.08 duration:0 duration_time:0 stream_index:0
pts:1120 pts_time:1.12 dts:1120 dts_time:1.12 duration:0 duration_time:0 stream_index:0
pts:1160 pts_time:1.16 dts:1160 dts_time:1.16 duration:0 duration_time:0 stream_index:0
pts:1200 pts_time:1.2 dts:1200 dts_time:1.2 duration:0 duration_time:0 stream_index:0
pts:1240 pts_time:1.24 dts:1240 dts_time:1.24 duration:0 duration_time:0 stream_index:0
pts:1280 pts_time:1.28 dts:1280 dts_time:1.28 duration:0 duration_time:0 stream_index:0
pts:1320 pts_time:1.32 dts:1320 dts_time:1.32 duration:0 duration_time:0 stream_index:0
pts:1360 pts_time:1.36 dts:1360 dts_time:1.36 duration:0 duration_time:0 stream_index:0
pts:1400 pts_time:1.4 dts:1400 dts_time:1.4 duration:0 duration_time:0 stream_index:0
pts:1440 pts_time:1.44 dts:1440 dts_time:1.44 duration:0 duration_time:0 stream_index:0
pts:1480 pts_time:1.48 dts:1480 dts_time:1.48 duration:0 duration_time:0 stream_index:0
pts:1520 pts_time:1.52 dts:1520 dts_time:1.52 duration:0 duration_time:0 stream_index:0
pts:1560 pts_time:1.56 dts:1560 dts_time:1.56 duration:0 duration_time:0 stream_index:0
pts:1600 pts_time:1.6 dts:1600 dts_time:1.6 duration:0 duration_time:0 stream_index:0
pts:1640 pts_time:1.64 dts:1640 dts_time:1.64 duration:0 duration_time:0 stream_index:0
pts:1680 pts_time:1.68 dts:1680 dts_time:1.68 duration:0 duration_time:0 stream_index:0
pts:1720 pts_time:1.72 dts:1720 dts_time:1.72 duration:0 duration_time:0 stream_index:0
pts:1760 pts_time:1.76 dts:1760 dts_time:1.76 duration:0 duration_time:0 stream_index:0
pts:1800 pts_time:1.8 dts:1800 dts_time:1.8 duration:0 duration_time:0 stream_index:0
pts:1840 pts_time:1.84 dts:1840 dts_time:1.84 duration:0 duration_time:0 stream_index:0
pts:1880 pts_time:1.88 dts:1880 dts_time:1.88 duration:0 duration_time:0 stream_index:0
pts:1920 pts_time:1.92 dts:1920 dts_time:1.92 duration:0 duration_time:0 stream_index:0
pts:1960 pts_time:1.96 dts:1960 dts_time:1.96 duration:0 duration_time:0 stream_index:0
pts:2000 pts_time:2 dts:2000 dts_time:2 duration:0 duration_time:0 stream_index:0
pts:2040 pts_time:2.04 dts:2040 dts_time:2.04 duration:0 duration_time:0 stream_index:0
pts:2080 pts_time:2.08 dts:2080 dts_time:2.08 duration:0 duration_time:0 stream_index:0
pts:2120 pts_time:2.12 dts:2120 dts_time:2.12 duration:0 duration_time:0 stream_index:0
pts:2160 pts_time:2.16 dts:2160 dts_time:2.16 duration:0 duration_time:0 stream_index:0
pts:2200 pts_time:2.2 dts:2200 dts_time:2.2 duration:0 duration_time:0 stream_index:0
pts:2240 pts_time:2.24 dts:2240 dts_time:2.24 duration:0 duration_time:0 stream_index:0
pts:2280 pts_time:2.28 dts:2280 dts_time:2.28 duration:0 duration_time:0 stream_index:0
pts:2320 pts_time:2.32 dts:2320 dts_time:2.32 duration:0 duration_time:0 stream_index:0
pts:2360 pts_time:2.36 dts:2360 dts_time:2.36 duration:0 duration_time:0 stream_index:0
pts:2400 pts_time:2.4 dts:2400 dts_time:2.4 duration:0 duration_time:0 stream_index:0
pts:2440 pts_time:2.44 dts:2440 dts_time:2.44 duration:0 duration_time:0 stream_index:0
pts:2480 pts_time:2.48 dts:2480 dts_time:2.48 duration:0 duration_time:0 stream_index:0
pts:2520 pts_time:2.52 dts:2520 dts_time:2.52 duration:0 duration_time:0 stream_index:0
pts:2560 pts_time:2.56 dts:2560 dts_time:2.56 duration:0 duration_time:0 stream_index:0
pts:2600 pts_time:2.6 dts:2600 dts_time:2.6 duration:0 duration_time:0 stream_index:0
pts:2640 pts_time:2.64 dts:2640 dts_time:2.64 duration:0 duration_time:0 stream_index:0
pts:2680 pts_time:2.68 dts:2680 dts_time:2.68 duration:0 duration_time:0 stream_index:0
pts:2720 pts_time:2.72 dts:2720 dts_time:2.72 duration:0 duration_time:0 stream_index:0
pts:2760 pts_time:2.76 dts:2760 dts_time:2.76 duration:0 duration_time:0 stream_index:0
pts:2800 pts_time:2.8 dts:2800 dts_time:2.8 duration:0 duration_time:0 stream_index:0
pts:2840 pts_time:2.84 dts:2840 dts_time:2.84 duration:0 duration_time:0 stream_index:0
pts:2880 pts_time:2.88 dts:2880 dts_time:2.88 duration:0 duration_time:0 stream_index:0
pts:2920 pts_time:2.92 dts:2920 dts_time:2.92 duration:0 duration_time:0 stream_index:0
pts:2960 pts_time:2.96 dts:2960 dts_time:2.96 duration:0 duration_time:0 stream_index:0
pts:3000 pts_time:3 dts:3000 dts_time:3 duration:0 duration_time:0 stream_index:0
pts:3040 pts_time:3.04 dts:3040 dts_time:3.04 duration:0 duration_time:0 stream_index:0
pts:3080 pts_time:3.08 dts:3080 dts_time:3.08 duration:0 duration_time:0 stream_index:0
pts:3120 pts_time:3.12 dts:3120 dts_time:3.12 duration:0 duration_time:0 stream_index:0
pts:3160 pts_time:3.16 dts:3160 dts_time:3.16 duration:0 duration_time:0 stream_index:0
pts:3200 pts_time:3.2 dts:3200 dts_time:3.2 duration:0 duration_time:0 stream_index:0
pts:3240 pts_time:3.24 dts:3240 dts_time:3.24 duration:0 duration_time:0 stream_index:0
pts:3280 pts_time:3.28 dts:3280 dts_time:3.28 duration:0 duration_time:0 stream_index:0
pts:3320 pts_time:3.32 dts:3320 dts_time:3.32 duration:0 duration_time:0 stream_index:0
pts:3360 pts_time:3.36 dts:3360 dts_time:3.36 duration:0 duration_time:0 stream_index:0
pts:3400 pts_time:3.4 dts:3400 dts_time:3.4 duration:0 duration_time:0 stream_index:0
pts:3440 pts_time:3.44 dts:3440 dts_time:3.44 duration:0 duration_time:0 stream_index:0
pts:3480 pts_time:3.48 dts:3480 dts_time:3.48 duration:0 duration_time:0 stream_index:0
pts:3520 pts_time:3.52 dts:3520 dts_time:3.52 duration:0 duration_time:0 stream_index:0
pts:3560 pts_time:3.56 dts:3560 dts_time:3.56 duration:0 duration_time:0 stream_index:0
pts:3600 pts_time:3.6 dts:3600 dts_time:3.6 duration:0 duration_time:0 stream_index:0
pts:3640 pts_time:3.64 dts:3640 dts_time:3.64 duration:0 duration_time:0 stream_index:0
pts:3680 pts_time:3.68 dts:3680 dts_time:3.68 duration:0 duration_time:0 stream_index:0
pts:3720 pts_time:3.72 dts:3720 dts_time:3.72 duration:0 duration_time:0 stream_index:0
pts:3760 pts_time:3.76 dts:3760 dts_time:3.76 duration:0 duration_time:0 stream_index:0
pts:3800 pts_time:3.8 dts:3800 dts_time:3.8 duration:0 duration_time:0 stream_index:0
pts:3840 pts_time:3.84 dts:3840 dts_time:3.84 duration:0 duration_time:0 stream_index:0
pts:3880 pts_time:3.88 dts:3880 dts_time:3.88 duration:0 duration_time:0 stream_index:0
pts:3920 pts_time:3.92 dts:3920 dts_time:3.92 duration:0 duration_time:0 stream_index:0
pts:3960 pts_time:3.96 dts:3960 dts_time:3.96 duration:0 duration_time:0 stream_index:0
pts:4000 pts_time:4 dts:4000 dts_time:4 duration:0 duration_time:0 stream_index:0
pts:4040 pts_time:4.04 dts:4040 dts_time:4.04 duration:0 duration_time:0 stream_index:0
pts:4080 pts_time:4.08 dts:4080 dts_time:4.08 duration:0 duration_time:0 stream_index:0
pts:4120 pts_time:4.12 dts:4120 dts_time:4.12 duration:0 duration_time:0 stream_index:0
pts:4160 pts_time:4.16 dts:4160 dts_time:4.16 duration:0 duration_time:0 stream_index:0
pts:4200 pts_time:4.2 dts:4200 dts_time:4.2 duration:0 duration_time:0 stream_index:0
pts:4240 pts_time:4.24 dts:4240 dts_time:4.24 duration:0 duration_time:0 stream_index:0
pts:4280 pts_time:4.28 dts:4280 dts_time:4.28 duration:0 duration_time:0 stream_index:0
pts:4320 pts_time:4.32 dts:4320 dts_time:4.32 duration:0 duration_time:0 stream_index:0
pts:4360 pts_time:4.36 dts:4360 dts_time:4.36 duration:0 duration_time:0 stream_index:0
pts:4400 pts_time:4.4 dts:4400 dts_time:4.4 duration:0 duration_time:0 stream_index:0
pts:4440 pts_time:4.44 dts:4440 dts_time:4.44 duration:0 duration_time:0 stream_index:0
pts:4480 pts_time:4.48 dts:4480 dts_time:4.48 duration:0 duration_time:0 stream_index:0
pts:4520 pts_time:4.52 dts:4520 dts_time:4.52 duration:0 duration_time:0 stream_index:0
pts:4560 pts_time:4.56 dts:4560 dts_time:4.56 duration:0 duration_time:0 stream_index:0
pts:4600 pts_time:4.6 dts:4600 dts_time:4.6 duration:0 duration_time:0 stream_index:0
pts:4640 pts_time:4.64 dts:4640 dts_time:4.64 duration:0 duration_time:0 stream_index:0
pts:4680 pts_time:4.68 dts:4680 dts_time:4.68 duration:0 duration_time:0 stream_index:0
pts:4720 pts_time:4.72 dts:4720 dts_time:4.72 duration:0 duration_time:0 stream_index:0
pts:4760 pts_time:4.76 dts:4760 dts_time:4.76 duration:0 duration_time:0 stream_index:0
pts:4800 pts_time:4.8 dts:4800 dts_time:4.8 duration:0 duration_time:0 stream_index:0
pts:4840 pts_time:4.84 dts:4840 dts_time:4.84 duration:0 duration_time:0 stream_index:0
pts:4880 pts_time:4.88 dts:4880 dts_time:4.88 duration:0 duration_time:0 stream_index:0
pts:4920 pts_time:4.92 dts:4920 dts_time:4.92 duration:0 duration_time:0 stream_index:0
pts:4960 pts_time:4.96 dts:4960 dts_time:4.96 duration:0 duration_time:0 stream_index:0
pts:5000 pts_time:5 dts:5000 dts_time:5 duration:0 duration_time:0 stream_index:0
pts:5040 pts_time:5.04 dts:5040 dts_time:5.04 duration:0 duration_time:0 stream_index:0
pts:5080 pts_time:5.08 dts:5080 dts_time:5.08 duration:0 duration_time:0 stream_index:0
pts:5120 pts_time:5.12 dts:5120 dts_time:5.12 duration:0 duration_time:0 stream_index:0
pts:5160 pts_time:5.16 dts:5160 dts_time:5.16 duration:0 duration_time:0 stream_index:0
pts:5200 pts_time:5.2 dts:5200 dts_time:5.2 duration:0 duration_time:0 stream_index:0
pts:5240 pts_time:5.24 dts:5240 dts_time:5.24 duration:0 duration_time:0 stream_index:0
pts:5280 pts_time:5.28 dts:5280 dts_time:5.28 duration:0 duration_time:0 stream_index:0
pts:5320 pts_time:5.32 dts:5320 dts_time:5.32 duration:0 duration_time:0 stream_index:0
pts:5360 pts_time:5.36 dts:5360 dts_time:5.36 duration:0 duration_time:0 stream_index:0
pts:5400 pts_time:5.4 dts:5400 dts_time:5.4 duration:0 duration_time:0 stream_index:0
pts:5440 pts_time:5.44 dts:5440 dts_time:5.44 duration:0 duration_time:0 stream_index:0
pts:5480 pts_time:5.48 dts:5480 dts_time:5.48 duration:0 duration_time:0 stream_index:0
pts:5520 pts_time:5.52 dts:5520 dts_time:5.52 duration:0 duration_time:0 stream_index:0
pts:5560 pts_time:5.56 dts:5560 dts_time:5.56 duration:0 duration_time:0 stream_index:0
pts:5600 pts_time:5.6 dts:5600 dts_time:5.6 duration:0 duration_time:0 stream_index:0
pts:5640 pts_time:5.64 dts:5640 dts_time:5.64 duration:0 duration_time:0 stream_index:0
