运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_sw:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encoding_muxing /tmp/02.yuv /tmp/02.pcm /tmp/02.muxing.mp4
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-sw_64/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encoding_muxing /tmp/02.yuv /tmp/02.pcm /tmp/02.muxing.mp4
合成视频
[48;5;0m[38;5;51m[libx264 @ 0x40b70c76dc30] [0musing cpu capabilities: none!
[48;5;0m[38;5;51m[libx264 @ 0x40b70c76dc30] [0mprofile High, level 3.0
[48;5;0m[38;5;51m[libx264 @ 0x40b70c76dc30] [0m264 - core 155 r2917 0a84d98 - H.264/MPEG-4 AVC codec - Copyleft 2003-2018 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=15 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=12 keyint_min=1 scenecut=40 intra_refresh=0 rc_lookahead=12 rc=abr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to '/tmp/02.muxing.mp4':
    Stream #0:0: Video: h264, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
    Stream #0:1: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
pts:-1024 pts_time:-0.02322 dts:-1024 dts_time:-0.02322 duration:1024 duration_time:0.02322 stream_index:1
pts:0 pts_time:0 dts:0 dts_time:0 duration:1024 duration_time:0.02322 stream_index:1
pts:1024 pts_time:0.02322 dts:1024 dts_time:0.02322 duration:1024 duration_time:0.02322 stream_index:1
pts:2048 pts_time:0.0464399 dts:2048 dts_time:0.0464399 duration:1024 duration_time:0.02322 stream_index:1
pts:3072 pts_time:0.0696599 dts:3072 dts_time:0.0696599 duration:1024 duration_time:0.02322 stream_index:1
