[libx264 @ 0xaaab05600cf0] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaab05600cf0] profile High, level 3.0
[libx264 @ 0xaaab05600cf0] 264 - core 155 r2917 0a84d98 - H.264/MPEG-4 AVC codec - Copyleft 2003-2018 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=12 keyint_min=1 scenecut=40 intra_refresh=0 rc_lookahead=12 rc=abr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to '02.mp4':
    Stream #0:0: Video: h264, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
pts:0 pts_time:0 dts:-1024 dts_time:-0.08 duration:0 duration_time:0 stream_index:0
pts:512 pts_time:0.04 dts:-512 dts_time:-0.04 duration:0 duration_time:0 stream_index:0
pts:1536 pts_time:0.12 dts:0 dts_time:0 duration:0 duration_time:0 stream_index:0
pts:1024 pts_time:0.08 dts:512 dts_time:0.04 duration:0 duration_time:0 stream_index:0
pts:3584 pts_time:0.28 dts:1024 dts_time:0.08 duration:0 duration_time:0 stream_index:0
pts:2560 pts_time:0.2 dts:1536 dts_time:0.12 duration:0 duration_time:0 stream_index:0
pts:2048 pts_time:0.16 dts:2048 dts_time:0.16 duration:0 duration_time:0 stream_index:0
pts:3072 pts_time:0.24 dts:2560 dts_time:0.2 duration:0 duration_time:0 stream_index:0
pts:5632 pts_time:0.44 dts:3072 dts_time:0.24 duration:0 duration_time:0 stream_index:0
pts:4608 pts_time:0.36 dts:3584 dts_time:0.28 duration:0 duration_time:0 stream_index:0
pts:4096 pts_time:0.32 dts:4096 dts_time:0.32 duration:0 duration_time:0 stream_index:0
pts:5120 pts_time:0.4 dts:4608 dts_time:0.36 duration:0 duration_time:0 stream_index:0
pts:6144 pts_time:0.48 dts:5120 dts_time:0.4 duration:0 duration_time:0 stream_index:0
pts:6656 pts_time:0.52 dts:5632 dts_time:0.44 duration:0 duration_time:0 stream_index:0
pts:8192 pts_time:0.64 dts:6144 dts_time:0.48 duration:0 duration_time:0 stream_index:0
pts:7168 pts_time:0.56 dts:6656 dts_time:0.52 duration:0 duration_time:0 stream_index:0
pts:7680 pts_time:0.6 dts:7168 dts_time:0.56 duration:0 duration_time:0 stream_index:0
pts:9216 pts_time:0.72 dts:7680 dts_time:0.6 duration:0 duration_time:0 stream_index:0
pts:8704 pts_time:0.68 dts:8192 dts_time:0.64 duration:0 duration_time:0 stream_index:0
pts:10240 pts_time:0.8 dts:8704 dts_time:0.68 duration:0 duration_time:0 stream_index:0
pts:9728 pts_time:0.76 dts:9216 dts_time:0.72 duration:0 duration_time:0 stream_index:0
pts:11264 pts_time:0.88 dts:9728 dts_time:0.76 duration:0 duration_time:0 stream_index:0
pts:10752 pts_time:0.84 dts:10240 dts_time:0.8 duration:0 duration_time:0 stream_index:0
pts:11776 pts_time:0.92 dts:10752 dts_time:0.84 duration:0 duration_time:0 stream_index:0
pts:12288 pts_time:0.96 dts:11264 dts_time:0.88 duration:0 duration_time:0 stream_index:0
pts:12800 pts_time:1 dts:11776 dts_time:0.92 duration:0 duration_time:0 stream_index:0
pts:13312 pts_time:1.04 dts:12288 dts_time:0.96 duration:0 duration_time:0 stream_index:0
pts:13824 pts_time:1.08 dts:12800 dts_time:1 duration:0 duration_time:0 stream_index:0
pts:14336 pts_time:1.12 dts:13312 dts_time:1.04 duration:0 duration_time:0 stream_index:0
pts:14848 pts_time:1.16 dts:13824 dts_time:1.08 duration:0 duration_time:0 stream_index:0
pts:15360 pts_time:1.2 dts:14336 dts_time:1.12 duration:0 duration_time:0 stream_index:0
pts:15872 pts_time:1.24 dts:14848 dts_time:1.16 duration:0 duration_time:0 stream_index:0
pts:16384 pts_time:1.28 dts:15360 dts_time:1.2 duration:0 duration_time:0 stream_index:0
pts:16896 pts_time:1.32 dts:15872 dts_time:1.24 duration:0 duration_time:0 stream_index:0
pts:17920 pts_time:1.4 dts:16384 dts_time:1.28 duration:0 duration_time:0 stream_index:0
pts:17408 pts_time:1.36 dts:16896 dts_time:1.32 duration:0 duration_time:0 stream_index:0
pts:18432 pts_time:1.44 dts:17408 dts_time:1.36 duration:0 duration_time:0 stream_index:0
pts:19456 pts_time:1.52 dts:17920 dts_time:1.4 duration:0 duration_time:0 stream_index:0
pts:18944 pts_time:1.48 dts:18432 dts_time:1.44 duration:0 duration_time:0 stream_index:0
pts:20992 pts_time:1.64 dts:18944 dts_time:1.48 duration:0 duration_time:0 stream_index:0
pts:19968 pts_time:1.56 dts:19456 dts_time:1.52 duration:0 duration_time:0 stream_index:0
pts:20480 pts_time:1.6 dts:19968 dts_time:1.56 duration:0 duration_time:0 stream_index:0
pts:21504 pts_time:1.68 dts:20480 dts_time:1.6 duration:0 duration_time:0 stream_index:0
pts:22016 pts_time:1.72 dts:20992 dts_time:1.64 duration:0 duration_time:0 stream_index:0
pts:22528 pts_time:1.76 dts:21504 dts_time:1.68 duration:0 duration_time:0 stream_index:0
pts:23040 pts_time:1.8 dts:22016 dts_time:1.72 duration:0 duration_time:0 stream_index:0
pts:23552 pts_time:1.84 dts:22528 dts_time:1.76 duration:0 duration_time:0 stream_index:0
pts:24064 pts_time:1.88 dts:23040 dts_time:1.8 duration:0 duration_time:0 stream_index:0
pts:24576 pts_time:1.92 dts:23552 dts_time:1.84 duration:0 duration_time:0 stream_index:0
pts:26624 pts_time:2.08 dts:24064 dts_time:1.88 duration:0 duration_time:0 stream_index:0
pts:25600 pts_time:2 dts:24576 dts_time:1.92 duration:0 duration_time:0 stream_index:0
pts:25088 pts_time:1.96 dts:25088 dts_time:1.96 duration:0 duration_time:0 stream_index:0
pts:26112 pts_time:2.04 dts:25600 dts_time:2 duration:0 duration_time:0 stream_index:0
pts:28672 pts_time:2.24 dts:26112 dts_time:2.04 duration:0 duration_time:0 stream_index:0
pts:27648 pts_time:2.16 dts:26624 dts_time:2.08 duration:0 duration_time:0 stream_index:0
pts:27136 pts_time:2.12 dts:27136 dts_time:2.12 duration:0 duration_time:0 stream_index:0
pts:28160 pts_time:2.2 dts:27648 dts_time:2.16 duration:0 duration_time:0 stream_index:0
pts:29184 pts_time:2.28 dts:28160 dts_time:2.2 duration:0 duration_time:0 stream_index:0
pts:30208 pts_time:2.36 dts:28672 dts_time:2.24 duration:0 duration_time:0 stream_index:0
pts:29696 pts_time:2.32 dts:29184 dts_time:2.28 duration:0 duration_time:0 stream_index:0
pts:30720 pts_time:2.4 dts:29696 dts_time:2.32 duration:0 duration_time:0 stream_index:0
pts:32768 pts_time:2.56 dts:30208 dts_time:2.36 duration:0 duration_time:0 stream_index:0
pts:31744 pts_time:2.48 dts:30720 dts_time:2.4 duration:0 duration_time:0 stream_index:0
pts:31232 pts_time:2.44 dts:31232 dts_time:2.44 duration:0 duration_time:0 stream_index:0
pts:32256 pts_time:2.52 dts:31744 dts_time:2.48 duration:0 duration_time:0 stream_index:0
pts:33792 pts_time:2.64 dts:32256 dts_time:2.52 duration:0 duration_time:0 stream_index:0
pts:33280 pts_time:2.6 dts:32768 dts_time:2.56 duration:0 duration_time:0 stream_index:0
